id,title,content,choice_1,choice_2,result_1,result_2,"effect_1 (max effects, separate by /)",effect_2
1,German,Do you support waste tax?,Yes,No,You supported tax on waste,You did not support waste tax,Influence/+20/Environment/+5,Environment/-2/Budget/+200/Influence/+20
2,German,A homeless person asks for 50 euros. Give him money or send him to the shelter?,Give him 50 euros.,Send him to the homeless shelter,You give him money,"You help him get to the shelter, where he tells everyone about how good you are.",Budget/-50/Influence/+25,Influence/+25
3,German,A newspaper wants to write an article about you. Would you give a full interview or rather do your job?,Do the full interview,Answer a few questions and get back to work,Your interview goes viral,You answer a few quick questions and get back to work.,Influence/+25,Influence/+25
4,German,A new autonomous car company asks for your support.,Support them,Refuse to support them,The company donates to your budget.,The company organizes a facebook event and notes that you did not support them.,Budget/+500,Influence/+40/Social/+5
5,German,A new business asks for policies allowing them to create more jobs.,Propose policies,Ask them to support your party,You push the policies and the business donates to your party,"You ask the company for donations, but an investigative journalist finds out. A public scandal!",Influence/+25/Budget/+200,Finance/+5
6,German,A group of environmentalists wants more green areas in the city,Suggest it to the city officials,"Tell them you will suggest it, but do nothing",You use part of your budget to help the environmentalists,"You do nothing, the environmentalists are disappointed",Influence/+25/Environment/+5,Environment/-5/Budget/+250
7,German,Is there a problem in your neighborhood such as speeding or graffiti? Would you try to solve it?,Yes,No,You pay a company to remove the grafiti.,"You start a fund for artists, who can paint on top of the graffiti.",Budget/-100/Influence/+25/Environment/+3,Budget/-150/Influence/+25/Social/+5
8,German,What activities for kids after school would you propose?,Sport and outdoor activities,Reading books and writing,The city hall invests in sports activities,The city hall invests in books for the local library,Budget/-150/Social/+5/Influence/+20,Budget/-100/Social/+3/Influence/+20
9,German,We want recreation classes at at our neighborhood center!,Yes,No,Find investors for recreational classes,Convince city hall to start a recreational class and see how people accept it.,Influence/+25/Finance/+5,Influence/+25/Social+5
10,German,Is a new park or library needed in your part of the city?,A new park,A new library,You support environmental needs,You support social needs,Environment/+5/Influence/+25,Social/+5/Influence/+25
11,German,What are doing about homelessness?,We are taking care of it by investing money in new shelters.,We are planning to do something about it next year.,You are concerned and you organize an initiative to donate clothes and shelter to homeless people,You decide to deal with homelessness at a later stage,Influence/+25/Budget/-100/Social/+5,Budget/+250/Social/-3
12,German,Do the potholes on your street need repair?,"Yes, as soon as possible!",In a few years,A few of the holes are repaired fast.,You will take care of them later,Budget/-50/Influence/+25,Budget/+100
13,German,Are there questions about our city's operations that you want answers to?,"Yes, there are a lot of questions we need to ask",I believe city hall is doing its job perfectly fine,People agree with your concerns,People trust your judgement,Social/+5,Influence/+25
14,German,Polls show most voters don't think government works. Would you fight to prove them wrong or support their claims?,I support their claims,I try to convince them that government works,"People dislike the fact that you support their claims, but do nothing about it.",You explain to people your opinion and they like your sincerity.,Influence/+25,Influence/+25/Social/+2
15,German,"Do you think eliminating obsolete laws, regulations and bureaucracies would help to reduce the federal budget deficit by cutting waste and saving time?",Yes,No,You agree,You disagree,Environment/+5/Influence/+25,Environment/-2/Budget/+150
16,German,One way to improve public education without spending more money is to cut the bureaucracy and red tape that makes it difficult for principals and teachers to do their jobs.,Yes,No,You agree,You disagree,Influence/+25/Budget/-100/Social/+5,Budget/+150/Social/-2
17,German,"Do you support a new coal plant, which would create a lot of new jobs or a new automated factory, which would be environmentally friendly?",The coal plant,The automated factory,The coal plant is approved.,The automated factory is approved,Finance/+5/Environment/-2/Influence/+25,Finance/-2/Influence/+25/Environment/+5
18,German,"Elon Musk wants to construct a hyperloop train connected to your city. It would be an expensive venture, but it will greatly benefit your people.",Support Hyperloop.,It is too expensive. Maybe some other time,You support Hyperloop. ,You help delay Musk's plans,Finance/+5/Budget/-100/Influence/+25,Influence/+25/Environment/-2/Budget/+100
