TYPE,WORD - English,WORD - German,WORD -French,WORD - Dutch
Finance,Expense report,Deutsch_Finanz,,
Finance,Tax refund,Deutsch_Finanz,,
Finance,Loan status,Deutsch_Finanz,,
Finance,Interest rate adjustment,Deutsch_Finanz,,
Finance,Monthly income report,Deutsch_Finanz,,
Finance,Commercial license fees,Deutsch_Finanz,,
Finance,Controller report,Deutsch_Finanz,,
Finance,Gross Domestic Product,Deutsch_Finanz,,
Finance,Property fees,Deutsch_Finanz,,
Finance,Credit rating,Deutsch_Finanz,,
Finance,Debt appraisal,Deutsch_Finanz,,
Finance,Investment portfolio,Deutsch_Finanz,,
Finance,New business fund,Deutsch_Finanz,,
Finance,Employee salaries,Deutsch_Finanz,,
Finance,Insurance payment,Deutsch_Finanz,,
Finance,Bank liabilities,Deutsch_Finanz,,
Social,Non-profit festival proposal,Deutsch_Sozial,,
Social,Unused building petition,Deutsch_Sozial,,
Social,Community center report,Deutsch_Sozial,,
Social,Playground equipment inventory,Deutsch_Sozial,,
Social,Educational background study,Deutsch_Sozial,,
Social,Integration report,Deutsch_Sozial,,
Social,Citizen action forum,Deutsch_Sozial,,
Social,Volunteer program,Deutsch_Sozial,,
Social,Youth center plan,Deutsch_Sozial,,
Social,Free tutoring program,Deutsch_Sozial,,
Social,Homeless center report,Deutsch_Sozial,,
Social,Pre-school development strategy,Deutsch_Sozial,,
Environment,Water conservation strategy,Deutsch_Umwelt,,
Environment,Car-sharing initiative,Deutsch_Umwelt,,
Environment,Solar technology report,Deutsch_Umwelt,,
Environment,Park development plan,Deutsch_Umwelt,,
Environment,Air pollution report,Deutsch_Umwelt,,
Environment,Public transportation campaign,Deutsch_Umwelt,,
Environment,Energy consumption report,Deutsch_Umwelt,,
Environment,Coop gardening article,Deutsch_Umwelt,,
Environment,Energy efficiency school presentation,Deutsch_Umwelt,,
Environment,Recycling analysis,Deutsch_Umwelt,,
Environment,Repair und reuse program,Deutsch_Umwelt,,
Environment,Sustainable production legislation,Deutsch_Umwelt,,
Environment,Rooftop beehive program,Deutsch_Umwelt,,
