TYPE,Difficulty,WORD - English,WORD - German,WORD -French,WORD - Dutch
Finance,1,Expense report,Deutsch_Finanz,,
Finance,1,Tax refund,Deutsch_Finanz,,
Finance,1,Loan status,Deutsch_Finanz,,
Finance,1,New business fund,Deutsch_Finanz,,
Finance,1,Employee salaries,Deutsch_Finanz,,
Finance,1,Investment portfolio,Deutsch_Finanz,,
Finance,2,Monthly income report,Deutsch_Finanz,,
Finance,2,Gross Domestic Product,Deutsch_Finanz,,
Finance,2,Property fees,Deutsch_Finanz,,
Finance,2,Credit rating,Deutsch_Finanz,,
Finance,2,Debt appraisal,Deutsch_Finanz,,
Finance,3,Commercial license fees,Deutsch_Finanz,,
Finance,3,Controller report,Deutsch_Finanz,,
Finance,3,Interest rate adjustment,Deutsch_Finanz,,
Finance,3,Insurance payment,Deutsch_Finanz,,
Finance,3,Bank liabilities,Deutsch_Finanz,,
Social,1,Free tutoring program,Deutsch_Sozial,,
Social,1,Homeless center report,Deutsch_Sozial,,
Social,1,Community center report,Deutsch_Sozial,,
Social,1,Youth center plan,Deutsch_Sozial,,
Social,2,Educational background study,Deutsch_Sozial,,
Social,2,Integration report,Deutsch_Sozial,,
Social,2,Citizen action forum,Deutsch_Sozial,,
Social,2,Volunteer program,Deutsch_Sozial,,
Social,3,Unused building petition,Deutsch_Sozial,,
Social,3,Playground equipment inventory,Deutsch_Sozial,,
Social,3,Non-profit festival proposal,Deutsch_Sozial,,
Social,3,Pre-school development strategy,Deutsch_Sozial,,
Environment,1,Water conservation strategy,Deutsch_Umwelt,,
Environment,1,Energy consumption report,Deutsch_Umwelt,,
Environment,1,Solar technology report,Deutsch_Umwelt,,
Environment,1,Park development plan,Deutsch_Umwelt,,
Environment,1,Air pollution report,Deutsch_Umwelt,,
Environment,1,Public transportation campaign,Deutsch_Umwelt,,
Environment,2,Car-sharing initiative,Deutsch_Umwelt,,
Environment,2,Coop gardening article,Deutsch_Umwelt,,
Environment,2,Energy efficiency school presentation,Deutsch_Umwelt,,
Environment,2,Recycling analysis,Deutsch_Umwelt,,
Environment,2,Repair und reuse program,Deutsch_Umwelt,,
Environment,3,Sustainable production legislation,Deutsch_Umwelt,,
Environment,3,Rooftop beehive program,Deutsch_Umwelt,,
