key,English - 0,German - 1,French - 2,Dutch - 3
mm_host,Host,Host,,
mm_connect,Connect,Verbinden,,
mm_search,Search,Suche,,
mm_restart,Restart,Neustart,,
mm_stop,Stop,Aufhören,,
mm_menu,Menu,Menü,,
role_choose,Choose your Responsibility!,Wähl deine Rolle aus!,,
role_player1,"Industry
Economy
Real Estate Development",Industrie ,,
role_player2,"Urban management
Social infrastructure",Sozial,,
role_player3,"Environment
Green and open space
Transportation and mobility",Umwelt,,
disc_descr,Propose Changes!,Biete Änderungen an!,,
disc_info_voted,Player voted.,Spieler hat gewählt.,,
disc_info_proposed,Project proposed by:,Projekt Angebot von:,,
Mg1_Description,Sort the documents on the correct stack!,Sortieren,,
Mg2_Description,Drag the megaphone to attract voters to the stage!,Werbung,,
Mg3_Description,Draw a straight line to block off land for your project!,Land durch Linien abschneiden.,,
Mg1_Goal,Sorted:,Sortiert:,,
Mg2_Goal,Audience:,Publikum:,,
Mg3_Goal,Land:,Fläche:,,
Mg_win,You made it. Great job! Resuming in...,Gut geschafft!,,
Mg_lose,You failed. Try again later. Resuming in...,Durchgefallen!,,
TimeWin,Four years have passed and it is time for new elections. Let's see how you performed in your term.,Vier Jahre sind vorbeit. Zeit für Wahlen!,,
UtopiaWin,You have outperformed yourselves! Your city just became the best city to live in the world!,Sie sind die beste Stadt der Welt. Gut gemacht!,,
MayorWin,One of you has accomplished so much that the ruling party has chosen him as their next Mayor candidate.,"Einer von euch hat so gut gespielt, er ist als Bürgermeisterkandidat vorgeschlagen worden.",,
MayorAnnounce,The new Mayor candidate is...,Der Bürgermeisterkandidat ist...,,
